Student Name,Student Email Id,student mobile number,Date of submission(dd-mm-yyyy format),Assignment Title,Did you made your bed?,Did you waste any food today?,How many hours did you study?,Do you feel to share something with us today?
JUWAN,juwan@gmail.com,9512345678,05/01/2025 22:32:33,Self Awareness,Yes,No,2,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,06/01/2025 20:35:26,Self Awareness,Yes,Yes,0,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,06/01/2025 21:19:32,Self Awareness,Yes,No,4,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,06/01/2025 21:50:42,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,07/01/2025 03:58:12,Self Awareness,Yes,No,2,Good day
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,07/01/2025 22:32:30,Self Awareness,Yes,No,5,Today in my school I got a good friend.
JUWAN,juwan@gmail.com,9512345678,07/01/2025 22:46:25,Self Awareness,Yes,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,07/01/2025 22:47:19,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,08/01/2025 02:48:20,Self Awareness,Yes,No,4,No
JUWAN,juwan@gmail.com,9512345678,08/01/2025 22:02:03,Self Awareness,Yes,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,08/01/2025 22:13:25,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,09/01/2025 03:13:58,Self Awareness,No,No,3,No
JUWAN,juwan@gmail.com,9512345678,09/01/2025 22:01:19,Self Awareness,Yes,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,09/01/2025 22:27:09,Self Awareness,No,No,5,Don't discriminate anyone against anything.
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,10/01/2025 20:22:36,Self Awareness,No,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,10/01/2025 22:02:17,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,10/01/2025 22:10:39,Self Awareness,No,No,1,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,10/01/2025 22:27:33,Self Awareness,No,No,2,There are somany people having different abilities don't teas anyone by telling that they didn't have any abilities.
JUWAN,juwan@gmail.com,9512345678,11/01/2025 07:52:58,Self Awareness,Yes,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,11/01/2025 21:34:18,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,11/01/2025 21:52:04,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,11/01/2025 22:04:36,Self Awareness,Yes,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,12/01/2025 19:08:41,Self Awareness,No,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,12/01/2025 20:12:28,Self Awareness,Yes,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,12/01/2025 21:36:38,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,12/01/2025 21:50:31,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,12/01/2025 21:53:53,Self Awareness,No,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,13/01/2025 21:02:21,Self Awareness,Yes,Yes,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,13/01/2025 22:08:17,Self Awareness,Yes,No,3,
JUWAN,juwan@gmail.com,9512345678,13/01/2025 22:13:37,Self Awareness,Yes,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,14/01/2025 02:33:55,Self Awareness,No,No,3,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,14/01/2025 22:16:08,Self Awareness,No,No,2,
JUWAN,juwan@gmail.com,9512345678,14/01/2025 22:46:52,Self Awareness,Yes,No,1,
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,15/01/2025 20:31:22,Self Awareness,Yes,No,0,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,15/01/2025 21:53:20,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,15/01/2025 22:18:50,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,15/01/2025 22:24:48,Self Awareness,Yes,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,16/01/2025 20:02:56,Self Awareness,Yes,No,0,
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,16/01/2025 20:29:23,Self Awareness,No,No,0,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,16/01/2025 21:17:57,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,16/01/2025 21:50:05,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,16/01/2025 22:31:57,Self Awareness,Yes,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,16/01/2025 23:57:55,Self Awareness,No,No,0,
IZZA FATHIMA. P.C,izzafathima.@gmail.com,9512345683,17/01/2025 21:04:40,Self Awareness,Yes,Yes,0,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,17/01/2025 21:25:39,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,17/01/2025 21:46:23,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,17/01/2025 22:03:29,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,18/01/2025 21:00:34,Self Awareness,No,No,2,Nothing 😔
ANINDITA. P,anindita.p@gmail.com,9512345688,18/01/2025 21:06:43,Self Awareness,No,No,1,No
JUWAN,juwan@gmail.com,9512345678,18/01/2025 22:12:20,Self Awareness,Yes,No,1,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,18/01/2025 22:24:20,Self Awareness,Yes,No,0,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,19/01/2025 19:58:10,Self Awareness,Yes,No,0,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,19/01/2025 21:09:29,Self Awareness,No,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,19/01/2025 22:55:42,Self Awareness,Yes,No,0,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,20/01/2025 21:38:56,Self Awareness,No,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,20/01/2025 22:48:57,Self Awareness,Yes,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,21/01/2025 02:59:46,Self Awareness,Yes,No,2,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,21/01/2025 21:37:02,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,22/01/2025 01:19:15,Self Awareness,No,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,22/01/2025 21:11:47,Self Awareness,No,Yes,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,22/01/2025 21:39:15,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,22/01/2025 21:40:38,Self Awareness,Yes,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,23/01/2025 00:05:36,Self Awareness,Yes,No,1,No
JUWAN,juwan@gmail.com,9512345678,23/01/2025 21:27:01,Self Awareness,Yes,No,0,Today I went mother's house by school vechicle at first time....I'm so excited ...my uncle came from Dubai and got lot of sweets....
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,23/01/2025 21:43:06,Self Awareness,No,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,23/01/2025 21:50:32,Self Awareness,Yes,No,0,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,23/01/2025 23:27:46,Self Awareness,Yes,No,1,Nice day 😊
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,24/01/2025 22:07:38,Self Awareness,No,No,0,"Sorry didn't come in soudi Arabia I didn't come in annual day
"
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,25/01/2025 21:17:37,Self Awareness,Yes,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,25/01/2025 22:39:08,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,25/01/2025 23:03:28,Self Awareness,No,No,0,Yesterday our annual day..it's awasome...today my cousin sister s annual day..i went to her school..and sleepover at cousins home.
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,26/01/2025 01:35:21,Self Awareness,Yes,No,3,Good day 
ANINDITA. P,anindita.p@gmail.com,9512345688,26/01/2025 22:12:54,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,26/01/2025 22:49:47,Self Awareness,Yes,No,2,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,27/01/2025 21:27:41,Self Awareness,No,Yes,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,27/01/2025 21:46:28,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,27/01/2025 22:38:45,Self Awareness,No,No,2,Tommorow I am fasting 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,28/01/2025 02:36:57,Self Awareness,Yes,No,0,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,28/01/2025 22:35:22,Self Awareness,No,No,5,
JUWAN,juwan@gmail.com,9512345678,28/01/2025 22:39:03,Self Awareness,Yes,No,3,Tomorrow will start our exam.. excited and  also scared
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,29/01/2025 03:16:57,Self Awareness,No,No,1,Nice class 
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,29/01/2025 20:19:05,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,29/01/2025 22:32:54,Self Awareness,Yes,No,4,Today's exam was very easy but tomorrow will be hard 
ANINDITA. P,anindita.p@gmail.com,9512345688,29/01/2025 23:39:59,Self Awareness,Yes,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,29/01/2025 23:58:43,Self Awareness,Yes,No,2,Nice class it was use ful
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,30/01/2025 21:27:56,Self Awareness,No,No,2,
ANINDITA. P,anindita.p@gmail.com,9512345688,30/01/2025 21:42:45,Self Awareness,No,No,3,
JUWAN,juwan@gmail.com,9512345678,30/01/2025 22:56:37,Self Awareness,Yes,No,3,It was a normal 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,31/01/2025 01:10:00,Self Awareness,No,No,4,Ño
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,31/01/2025 20:09:38,Self Awareness,Yes,No,1,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,31/01/2025 20:34:45,Self Awareness,Yes,No,0,Yes it is my sister do not like me do u know whyy it is my big sis brought brownie and Apple fizz after school and in a box of brownie there is 4 pieces they two eat 2 and 2 . When l came and ask where is my brownie they say sryy we eat and about the fizz she brought 2 fizz but one for her and one for my little sister where is mine . Also she brought lays they eat without giving me . Iam l one of the them whyyy
ANINDITA. P,anindita.p@gmail.com,9512345688,31/01/2025 21:30:01,Self Awareness,No,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,31/01/2025 21:34:28,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,31/01/2025 22:59:08,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,01/02/2025 02:08:52,Self Awareness,No,No,1,Nice class 
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,01/02/2025 21:36:30,Self Awareness,No,No,1,"I have understood that don't spend more time in mobile, laptop,I pad,tv, computer etc.. spend your time by seeing the beauty of the nature and I took a decision myself that to reduce the use of application. Today onwards i will reduce the use of application.😊"
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,01/02/2025 21:44:51,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,01/02/2025 22:44:34,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,02/02/2025 03:44:06,Self Awareness,Yes,Yes,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,02/02/2025 21:48:40,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,02/02/2025 22:28:05,Self Awareness,Yes,No,1,Today was awesome..all cousins are together full day...we laughed more...played lot...and fort together....lunch and dinner also super
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,03/02/2025 02:56:22,Self Awareness,Yes,No,3,Nice day 
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,03/02/2025 19:30:15,Self Awareness,No,No,4,
JUWAN,juwan@gmail.com,9512345678,03/02/2025 22:51:31,Self Awareness,Yes,No,4,Anxious study not completed....today night madrasa class...
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,04/02/2025 21:41:28,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,04/02/2025 22:22:59,Self Awareness,Yes,No,4,Iam sad and angry for tomorrow's morning madrassa class 
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,04/02/2025 22:24:59,Self Awareness,No,No,5,
ANINDITA. P,anindita.p@gmail.com,9512345688,04/02/2025 22:35:17,Self Awareness,Yes,No,3,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,05/02/2025 02:12:12,Self Awareness,Yes,No,3,No
ANINDITA. P,anindita.p@gmail.com,9512345688,05/02/2025 21:21:43,Self Awareness,Yes,No,2,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,05/02/2025 21:43:29,Self Awareness,No,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,05/02/2025 22:19:24,Self Awareness,No,No,2,
JUWAN,juwan@gmail.com,9512345678,05/02/2025 22:58:20,Self Awareness,Yes,No,4,My grandmother is here today 
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,06/02/2025 21:43:38,Self Awareness,No,No,1,
ANINDITA. P,anindita.p@gmail.com,9512345688,06/02/2025 22:22:39,Self Awareness,No,No,2,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,06/02/2025 22:22:41,Self Awareness,No,No,3,
JUWAN,juwan@gmail.com,9512345678,06/02/2025 23:54:45,Self Awareness,Yes,No,4,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,07/02/2025 02:21:12,Self Awareness,No,No,1,No
JUWAN,juwan@gmail.com,9512345678,07/02/2025 22:05:16,Self Awareness,Yes,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,08/02/2025 02:58:13,Self Awareness,Yes,No,0,No
ANINDITA. P,anindita.p@gmail.com,9512345688,08/02/2025 21:07:41,Self Awareness,No,No,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,08/02/2025 22:37:07,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,08/02/2025 23:09:44,Self Awareness,Yes,No,0,Today we went to see ഒരു ജാതി ജാതകം movie 
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,09/02/2025 21:50:50,Self Awareness,No,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,10/02/2025 21:44:26,Self Awareness,No,No,0,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,10/02/2025 21:58:06,Self Awareness,Yes,No,2,I have talked to a lonely girl and she became very happy after talking to me ☺️.
JUWAN,juwan@gmail.com,9512345678,10/02/2025 22:38:10,Self Awareness,Yes,No,5,
ANINDITA. P,anindita.p@gmail.com,9512345688,10/02/2025 22:39:59,Self Awareness,No,No,1,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,11/02/2025 03:12:14,Self Awareness,No,No,0,Nice day 
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,11/02/2025 22:03:25,Self Awareness,No,No,3,When we have a dream we need to Hard work for it.
JUWAN,juwan@gmail.com,9512345678,11/02/2025 22:21:19,Self Awareness,Yes,No,5,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,12/02/2025 02:36:24,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,12/02/2025 20:57:41,Self Awareness,No,No,0,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,12/02/2025 21:20:23,Self Awareness,Yes,No,0,
JUWAN,juwan@gmail.com,9512345678,12/02/2025 21:48:37,Self Awareness,No,No,0,Today was awesome...sleepover with sneha chechi
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,12/02/2025 21:54:29,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,13/02/2025 02:37:14,Self Awareness,Yes,No,3,Nice 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,13/02/2025 20:12:18,Self Awareness,No,No,3,Nothing 
NIDA MEHARIN C K,nidameharin@gmail.com,9512345692,13/02/2025 20:43:47,Self Awareness,No,No,1,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,13/02/2025 21:02:51,Self Awareness,Yes,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,13/02/2025 21:26:07,Self Awareness,No,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,13/02/2025 21:41:16,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,13/02/2025 22:30:21,Self Awareness,Yes,No,2,
ANINDITA. P,anindita.p@gmail.com,9512345688,14/02/2025 21:36:20,Self Awareness,No,No,0,Nothing 
JUWAN,juwan@gmail.com,9512345678,14/02/2025 22:05:02,Self Awareness,Yes,No,5,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,15/02/2025 01:10:05,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,15/02/2025 20:10:36,Self Awareness,Yes,Yes,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,16/02/2025 03:27:56,Self Awareness,No,No,3,No
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,16/02/2025 03:29:18,Self Awareness,Yes,No,5,No
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,16/02/2025 20:55:59,Self Awareness,No,No,0,Nothing
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,16/02/2025 21:52:10,Self Awareness,Yes,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,16/02/2025 23:21:39,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,17/02/2025 03:24:58,Self Awareness,Yes,No,3,Umma warude paranjadann njan padikan maddi undd nn
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,17/02/2025 20:14:55,Self Awareness,No,No,0,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,17/02/2025 20:50:37,Self Awareness,Yes,No,0,No
ANINDITA. P,anindita.p@gmail.com,9512345688,17/02/2025 21:00:09,Self Awareness,No,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,17/02/2025 21:55:50,Self Awareness,No,No,1,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,17/02/2025 22:05:01,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,17/02/2025 22:44:09,Self Awareness,Yes,No,5,Madarasa exam going on...
SONA MARIYAM,sonamariyam@gmail.com,9512345686,18/02/2025 20:57:47,Self Awareness,No,No,0,No
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,18/02/2025 22:30:29,Self Awareness,Yes,No,0,"I understand that everyone will not have every abilities but every one will have one or more abilities.dont look at the people who have more abilities than you .only look at the people who have less abilities than us.there is one proverb that "" ullathu kond onam pole"" that's 100 per cent correct 💯"
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,19/02/2025 21:49:26,Self Awareness,No,Yes,0,
FATHIMA SHADHA. K.,fathimashadha.@gmail.com,9512345691,19/02/2025 22:02:40,Self Awareness,Yes,No,0,Yes .Ellavarkum ella samayathhum ellam undaavanamennilla mattuvalarkk und .enikk maathram illa athukond enikk avanteeth veenam enn karuthaan polum paadilla ( ànyante mothal agrahikkaruth) naam ullathu kond thripthippedenam.
JUWAN,juwan@gmail.com,9512345678,19/02/2025 22:18:53,Self Awareness,Yes,No,5,
ANINDITA. P,anindita.p@gmail.com,9512345688,19/02/2025 23:05:52,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,20/02/2025 03:22:48,Self Awareness,Yes,No,1,Nothing is more than today 
FIHA FATHIMA. M.P,fihafathima.@gmail.com,9512345680,20/02/2025 20:21:18,Self Awareness,No,No,3,Today open house.progress report kitti .grade b2 Mari a2 aayi.i'm very happy.ath pole very good vitt excellent aayi
JUWAN,juwan@gmail.com,9512345678,20/02/2025 21:15:36,Self Awareness,Yes,No,3,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,20/02/2025 21:46:34,Self Awareness,No,No,0,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,20/02/2025 22:40:32,Self Awareness,No,No,1,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,20/02/2025 22:42:23,Self Awareness,Yes,Yes,0,Nothing is more than today 
ANINDITA. P,anindita.p@gmail.com,9512345688,20/02/2025 22:55:44,Self Awareness,No,No,1,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,21/02/2025 21:56:45,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,22/02/2025 09:10:32,Self Awareness,Yes,No,3,Feel happy
JUWAN,juwan@gmail.com,9512345678,22/02/2025 22:35:27,Self Awareness,Yes,No,1,I'm happy....I'm here in mother home....
ANINDITA. P,anindita.p@gmail.com,9512345688,22/02/2025 23:10:10,Self Awareness,No,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,23/02/2025 21:39:37,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,23/02/2025 22:28:30,Self Awareness,Yes,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,23/02/2025 23:06:50,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,24/02/2025 23:04:18,Self Awareness,Yes,No,5,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,25/02/2025 01:34:53,Self Awareness,No,No,0,No 
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,26/02/2025 01:10:03,Self Awareness,Yes,No,0,Yes I yesterday came from a long trip 
JUWAN,juwan@gmail.com,9512345678,26/02/2025 22:01:55,Self Awareness,Yes,No,0,2 days was very excited and thrill...and hard tooo...we enjoyed lot....feel something special when wearing uniform and cap...
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,26/02/2025 23:25:59,Self Awareness,Yes,No,3,"No
 "
ANINDITA. P,anindita.p@gmail.com,9512345688,27/02/2025 00:00:25,Self Awareness,No,No,1,No
ANINDITA. P,anindita.p@gmail.com,9512345688,27/02/2025 22:00:26,Self Awareness,No,No,2,No
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,27/02/2025 22:25:40,Self Awareness,No,No,0,
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,27/02/2025 22:47:47,Self Awareness,No,Yes,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,28/02/2025 02:12:10,Self Awareness,Yes,No,3,"Yes I have improved with these app now I am not at all using the phone thanks for all
"
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,28/02/2025 21:47:23,Self Awareness,No,Yes,0,
JUWAN,juwan@gmail.com,9512345678,28/02/2025 23:00:04,Self Awareness,Yes,No,1,
JUWAN,juwan@gmail.com,9512345678,28/02/2025 23:01:24,Self Awareness,Yes,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,28/02/2025 23:30:20,Self Awareness,No,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,01/03/2025 20:17:24,Self Awareness,No,No,0,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,01/03/2025 21:49:11,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,01/03/2025 22:53:55,Self Awareness,Yes,No,3,No
JUWAN,juwan@gmail.com,9512345678,02/03/2025 00:14:28,Self Awareness,Yes,No,4,Tommorow ramzan ....feel excited
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,02/03/2025 22:00:24,Self Awareness,No,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,02/03/2025 22:06:51,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,02/03/2025 23:49:20,Self Awareness,Yes,No,3,Yesterday I make a gun in creativity  and my mother is not trying to listen me 😞
JUWAN,juwan@gmail.com,9512345678,03/03/2025 08:35:39,Self Awareness,Yes,No,5,
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,03/03/2025 21:45:59,Self Awareness,No,No,0,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,04/03/2025 04:35:27,Self Awareness,Yes,No,3,Mom is not allowing to me any of my creativity 
JUWAN,juwan@gmail.com,9512345678,04/03/2025 05:10:18,Self Awareness,Yes,No,2,
SONA MARIYAM,sonamariyam@gmail.com,9512345686,04/03/2025 22:47:53,Self Awareness,No,No,0,Noting
JUWAN,juwan@gmail.com,9512345678,05/03/2025 01:12:53,Self Awareness,Yes,No,2,I'm happy...we enjoyed lot
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,05/03/2025 04:20:32,Self Awareness,Yes,No,0,"You can add this form 
creativity "
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,05/03/2025 22:27:57,Self Awareness,No,No,0,
JUWAN,juwan@gmail.com,9512345678,05/03/2025 23:02:10,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,06/03/2025 06:18:07,Self Awareness,Yes,No,1,No
FATHIMA DILFIYA,fathimadilfiya@gmail.com,9512345687,06/03/2025 21:47:22,Self Awareness,No,No,1,
JUWAN,juwan@gmail.com,9512345678,06/03/2025 23:30:06,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,07/03/2025 03:30:12,Self Awareness,Yes,No,1,In this form I can realise it's be good
MEHSHAN JASIM. R,mehshanjasim.@gmail.com,9512345681,07/03/2025 21:57:21,Self Awareness,No,No,0,
ANINDITA. P,anindita.p@gmail.com,9512345688,07/03/2025 22:14:11,Self Awareness,Yes,No,0,No
JUWAN,juwan@gmail.com,9512345678,07/03/2025 22:35:23,Self Awareness,Yes,No,2,
MUHAMMED JIHADH P K,muhammedjihadh@gmail.com,9512345679,08/03/2025 04:34:03,Self Awareness,Yes,No,3,No
JUWAN,juwan@gmail.com,9512345678,08/03/2025 22:24:51,Self Awareness,Yes,No,2,
